date;prod_id;prod_name;prod_name_long;prod_brand;category;subcategory;tags; Name ;Category;prod_icon; prod_source ;source_type;;
20190609;8,69E+12;Aromatizante Air Wick Pure aerosol fresco ;Aromatizante Air Wick Pure aerosol fresco x 250 ml;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick Pure aerosol fresco x 250 ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Aromatizante Air Wick Pure Flor magnolia aparato + repuesto ;Aromatizante Air Wick Pure Flor magnolia aparato + repuesto x 20ml;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick Pure Flor magnolia aparato + repuesto x 20ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Aromatizante Air Wick pure flores de magnolia ;Aromatizante Air Wick pure flores de magnolia x 2und x 250 ml precio especial;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick pure flores de magnolia x 2und x 250 ml precio especial ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Air Wick Pure repuesto suavidad ;Aromatizante Air Wick Pure repuesto suavidad x 250 ml - Aromatizante Air Wick Pure repuesto suavidad x250 ml;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick Pure repuesto suavidad x 250 ml - Aromatizante Air Wick Pure repuesto suavidad x250 ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Aromatizante Air Wick pure repuesto suavidad algodón ;Aromatizante Air Wick pure repuesto suavidad algodón x 2und x 250 ml precio especial;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick pure repuesto suavidad algodon x 2und x 250 ml precio especial ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,70E+12;Aromatizante Air Wick Pure suave aparato + repuesto ;Aromatizante Air Wick Pure suave aparato + repuesto x 20ml;AIR WICK;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Air Wick Pure suave aparato + repuesto x 20ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade 1 Aparato + 1 Repuesto ;Aromatizante De Ambiente En Aerosol Automático 3 En 1 Hawaiian Breeze Glade 1 Aparato + 1 Repuesto x 270ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Aerosol Automatico 3 En 1 Hawaiian Breeze Glade 1 Aparato + 1 Repuesto x 270ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade ;Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Facil Glade x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante De Ambiente En Aerosol Manzana y Canela Rociado Fácil Glade ;Aromatizante De Ambiente En Aerosol Manzana y Canela Rociado Fácil Glade x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Aerosol Manzana y Canela Rociado Facil Glade x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante De Ambiente En Aerosol Paraiso Azul Rociado Fácil Glade ;Aromatizante De Ambiente En Aerosol Paraiso Azul Rociado Fácil Glade x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Aerosol Paraiso Azul Rociado Facil Glade x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante De Ambiente En Atomizador Campos De Lavanda Glade Toque 1 Aparato + 1 Repuesto;Aromatizante De Ambiente En Atomizador Campos De Lavanda Glade Toque 1 Aparato + 1 Repuesto;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Atomizador Campos De Lavanda Glade Toque 1 Aparato + 1 Repuesto ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 1 Aparato + 1 Repuesto;Aromatizante De Ambiente En Atomizador Paraíso Azul Glade Toque 1 Aparato + 1 Repuesto;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante De Ambiente En Atomizador Paraiso Azul Glade Toque 1 Aparato + 1 Repuesto ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust ;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Frescura Camprestre Glade Oust ;Aromatizante Eliminador De Olores y Desinfectante En Aerosol Frescura Camprestre Glade Oust x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Eliminador De Olores y Desinfectante En Aerosol Frescura Camprestre Glade Oust x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade  campos de lavanda gel ;Aromatizante Glade  campos de lavanda gel x170g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade  campos de lavanda gel x170g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade 5en1 alegría floral frutos rojos aerosol ;Aromatizante Glade 5en1 alegría floral frutos rojos aerosol x 400ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade 5en1 alegria floral frutos rojos aerosol x 400ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,71E+12;Aromatizante Glade aceites rit. ambiente liquido repuesto ;Aromatizante Glade aceites rit. ambiente liquido repuesto x 3und x 21ml cada uno edición limitada;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade aceites rit. ambiente liquido repuesto x 3und x 21ml cada uno edicion limitada ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
